tag,weight,fruit_x,fruit_y,fruit_z,color,condition
387,4.75,20,20,25,grey,dessicated
387,4.34,20,20,25,grey,dessicated
387,3.99,20,20,25,grey,dessicated
387,3.73,20,20,20,grey,dessicated
387,3.31,20,20,20,grey,dessicated
387,3.2,20,20,15,grey,dessicated
387,3.9,20,20,20,yellow brown,ripe
388,7.81,25,20,25,grey,dessicated
388,5.69,20,20,23,grey,dessicated
388,4.95,20,20,20,grey,dessicated
388,4.32,20,20,20,grey,dessicated
388,3.61,20,20,20,grey,dessicated
388,3.43,20,20,20,grey,dessicated
388,3.27,20,20,25,grey,dessicated
388,2.9,20,20,20,grey,dessicated
388,2.77,20,20,20,grey,dessicated
388,2.72,20,20,20,grey,dessicated
389,3.65,20,20,25,grey,dessicated
389,3.6,20,20,20,grey,dessicated
390,5.52,20,20,25,grey,dessicated
390,5.02,20,20,20,grey,dessicated
390,4.81,20,20,25,grey,dessicated
390,4.61,20,20,25,grey,dessicated
390,4.1,20,20,20,grey,dessicated
390,4.05,20,20,20,grey,dessicated
390,3.9,20,20,20,grey,dessicated
390,3.83,20,20,25,grey,dessicated
390,3.68,20,20,20,grey,dessicated
390,3.59,20,20,25,grey,dessicated
393,11.05,20,20,30,yellow,ripe
393,10.86,20,20,30,yellow brown,ripe
393,10.14,20,20,30,yellow green,ripe
393,8.76,20,20,30,yellow,ripe
393,8.69,20,20,30,yellow brown,ripe
393,8.48,20,20,30,yellow,ripe
393,8.3,20,20,25,yellow green,ripe
393,8.19,20,20,25,yellow,ripe
393,7.33,20,20,25,yellow,ripe
393,5.02,20,20,30,yellow green,ripe
394,5.74,20,20,20,grey,dessicated
394,5.51,20,20,25,grey,dessicated
394,4.71,20,20,20,yellow brown,ripe
394,4.42,20,20,25,yellow brown,ripe
394,3.28,15,15,25,green,ripe
394,2.97,15,15,25,yellow,ripe
394,2.5,15,15,25,yellow green,ripe
394,1.88,15,15,20,yellow green,ripe
394,1.84,15,15,25,yellow,ripe
394,1.25,10,10,15,yellow,ripe
395,9.54,25,25,25,black,dessicated
395,9.11,25,25,25,black,dessicated
395,9.09,25,25,25,black,dessicated
395,8.45,25,20,30,black,dessicated
395,8.14,25,25,25,black,dessicated
395,7.84,25,25,30,black,dessicated
395,6.97,20,20,30,black,dessicated
395,6.95,25,20,25,black,dessicated
395,6.37,25,20,20,black,dessicated
395,5.7,25,20,20,black,dessicated
397,13.65,20,20,40,yellow,ripe
397,10.45,25,20,35,yellow,ripe
397,9.2,20,20,25,yellow brown,ripe
397,6.95,20,20,30,yellow,ripe
397,6.03,20,20,25,yellow,ripe
397,5.49,20,20,20,yellow brown,ripe
397,4.97,20,20,25,yellow,ripe
397,4.65,20,20,25,yellow,ripe
397,3.68,20,20,20,yellow,ripe
397,2.72,15,15,20,yellow,ripe
399,7.8,20,20,25,black,dessicated
399,8.68,20,20,30,yellow brown,ripe
399,8.07,20,20,20,brown,ripe
399,7.72,20,20,25,yellow,ripe
399,7.7,20,20,30,yellow,ripe
399,7.69,25,20,30,yellow green,ripe
399,7.45,20,20,25,yellow,ripe
399,6.05,20,20,20,yellow green,ripe
399,4.79,20,15,30,yellow green,ripe
399,4.28,20,15,20,yellow green,ripe
400,7.31,20,20,25,grey,dessicated
400,5.08,20,20,20,grey,dessicated
400,4.75,20,20,25,grey,dessicated
400,4.13,20,20,20,grey,dessicated
400,4.13,20,20,20,grey,dessicated
400,4.05,20,20,20,grey,dessicated
400,4.03,20,20,20,grey,dessicated
400,4.02,20,20,20,grey,dessicated
400,3.69,20,20,20,grey,dessicated
400,3.33,20,20,20,grey,dessicated
